id,reporting_year,measurement_year,total_emissions,total_scope_1_emissions,total_scope_2_emissions,emission_status_id,city_id
325,2017,2012,2550886.0,1239302.0,1273559.0,5,55799
326,2017,2016,364181.0,364183.0,214442.0,5,62864
327,2017,2016,,5509422.0,5592455.0,3,43910
328,2017,2015,633905.0,511195.0,102335.0,3,59631
329,2017,2015,5759189.0,5036124.0,1022269.0,2,42178
330,2017,2016,3187650.72,1285662.84,1144463.69,1,53921
331,2017,2016,9326.0,9242.0,84.0,3,36263
332,2017,2011,720870.0,720870.0,,2,59545
333,2017,2015,9139286.0,4033867.0,4855798.0,2,1093
334,2017,2015,15789438.0,12688756.0,3919620.0,2,31170
335,2017,2014,40096000.0,19430000.0,18400000.0,3,3422
336,2017,2015,810086.0,981954.0,,1,60419
337,2017,2013,4851452.0,,2729490.0,3,35877
338,2017,2014,20043240.0,8804364.0,1293287.0,5,31117
339,2017,2012,3806000.0,,3806000.0,3,43926
340,2017,2014,394341.0,341208.0,136413.0,3,52897
341,2017,2016,4047600.0,1813300.0,2234200.0,2,43928
342,2017,2015,27548711.0,23042142.54,4700087.01,2,50369
343,2017,2014,4758487.0,3377382.0,1783580.0,5,35879
344,2017,2016,825704.0,783932.0,321821.0,1,31151
345,2017,2015,,68545601.0,15358577.0,3,31112
346,2017,2015,1806679.0,423379.0,1435937.0,3,58488
347,2017,2014,16892757.0,10630853.0,6694801.0,3,35898
348,2017,2017,859000.0,1325000.0,1325000.0,3,54461
349,2017,2015,960656.0,,,3,46514
350,2017,2015,187055.0,182896.0,4159.0,5,59669
351,2017,2012,48094650.0,48094650.0,,6,35993
352,2017,2014,417000.0,289000.0,128000.0,3,58610
353,2017,2015,,1367962.0,1422200.0,3,49334
354,2017,2014,179535.0,,,1,62855
355,2017,2015,22154154.0,11605283.0,9459527.0,3,35863
356,2017,2015,1103977.0,915123.58,188853.0,4,54078
357,2017,2010,788108.0,320044.14,468064.0,1,54356
358,2017,2014,27780000.0,,,3,31166
359,2017,2015,18235086.0,2719315.0,10560750.0,3,56276
360,2017,2013,163838.0,163412.0,426.0,3,50671
361,2017,2014,1944330.0,1944329.0,,3,36154
362,2017,2013,13001831.0,7009751.0,6580445.0,3,1184
363,2017,2015,1701551.0,768209.0,913410.0,3,54104
364,2017,2013,28922796.0,19936349.0,9506208.0,3,10894
365,2017,2015,294549.0,,,3,58671
366,2017,2015,13193864.0,16338506.0,4252960.0,2,31155
367,2017,2015,4065219.0,,,2,54497
368,2017,2015,885210.0,,,3,54057
369,2017,2015,5053422.0,1364941.0,3360563.0,3,31149
370,2017,2015,1848635.0,858704.0,980622.0,1,55415
371,2017,2010,296048.0,210597.0,85451.0,1,64014
372,2017,2012,1400000.0,,,6,54443
373,2017,2015,17774776.0,14364103.0,3410672.0,2,31159
374,2017,2017,2798291.17,2424305.24,367108.66,1,50392
375,2017,2013,1763018.0,,,2,54623
376,2017,2016,1420000.0,1420000.0,,3,54092
377,2017,2015,7203267.0,2853424.0,4239250.0,2,35393
378,2017,2014,246.0,104.0,143.0,3,50673
379,2017,2014,6787374.0,5429899.0,1357475.0,1,36045
380,2017,2016,49285.0,33277.0,13340.0,1,59158
381,2017,2016,185.0,,,3,58609
382,2017,2015,20375000.0,11557000.0,8818000.0,3,31113
383,2017,2014,11721774.0,7930452.0,3791322.0,3,31185
384,2017,2015,3247578.0,251378.0,2996154.0,5,54100
385,2017,2014,3606199.0,3519969.0,1140961.0,3,13067
386,2017,2014,245886.0,,60896.0,6,50672
387,2017,2015,263352.0,286131.0,158441.0,3,50650
388,2017,2014,219396.0,118724.0,100672.0,1,60433
389,2017,2013,4662549.56,2412301.23,2200856.14,2,57347
390,2017,2015,,16831295.0,1622420.0,3,50555
391,2017,2014,17355479.0,13245864.0,5578123.0,3,31181
392,2017,2015,2329792.0,1333830.0,371415.0,3,35872
393,2017,2014,8691225.0,6957473.31,1733751.73,4,61753
394,2017,2015,227962.0,,,3,58395
395,2017,2014,1934361.0,1023910.0,910451.0,3,36159
396,2017,2012,10329322.0,5520240.0,4809082.0,4,35862
397,2017,2015,30955862.0,16951471.0,12967223.0,3,3203
398,2017,2014,24716713.0,9068358.0,15661031.0,3,31115
399,2017,2012,5420000.0,,,3,43911
400,2017,2015,1233.0,,,3,14088
401,2017,2016,4681117.0,2720107.0,1976634.0,2,54108
402,2017,2014,2330487.0,,108197.0,2,60374
403,2017,2015,1234211.0,,,2,60602
404,2017,2014,3496156.0,,,3,35886
405,2017,2014,1822367.0,,,5,35449
406,2017,2015,943176.0,4315084.0,4565580.0,4,32550
407,2017,2016,2150000.0,,,6,62180
408,2017,2014,1207364.0,292567.0,825822.0,1,63999
409,2017,2012,1113971.0,980290.8,133680.5,5,50383
410,2017,2015,1745827.0,956414.0,789413.0,3,50560
411,2017,2014,5099175.0,,,6,50371
412,2017,2014,275646.0,,,3,19233
413,2017,2014,131931.0,115719.73,16201.19,1,60273
414,2017,2016,4138000.0,,2460000.0,3,31148
415,2017,2016,153948.0,153948.0,,3,54119
416,2017,2015,7688447.0,8460598.0,3280096.0,3,35859
